Ticket type,Ticket no,User name,Issued,Order,Order #,Ticket id,Avatar filename,QR profile filename,QR feedback filename,Name,Twitter,Serial code,Sponsor logo,checked_in,Ticket url,インボイス対応について,参加のためには別途チケットをご購入ください,応援団の Web サイト表示について,返金対応はいたしかねます,その他コメント欄
"ラーメンを応援します","V-26","hkit7","2024/06/15 22:23","","","","default-avatar.png","qr-profile-ラーメンを応援します-V-26.png","qr-feedback-ラーメンを応援します-V-26.png","","","",,false,"https://fortee.jp/techramen-24-conf/attendee/tp6g1r4JHHyjXjNteDHQ21fbkzWuQ2Ac","領収書の注意事項について理解しました","このチケットではイベント参加できないことを理解しました","表示してもよい(fortee の設定についても理解した)","返金不可の旨を理解しました",""
"ラーメンを応援します","V-27","nsfisis","2024/06/15 22:44","","","","default-avatar.png","qr-profile-ラーメンを応援します-V-27.png","qr-feedback-ラーメンを応援します-V-27.png","","","",,false,"https://fortee.jp/techramen-24-conf/attendee/LgguBhaXXM1M5KalbrABfMRKjM0ZARiw","領収書の注意事項について理解しました","このチケットではイベント参加できないことを理解しました","表示してもよい(fortee の設定についても理解した)","返金不可の旨を理解しました",""
"ラーメンを応援します","V-28","nsfisis","2024/06/15 22:47","","","","default-avatar.png","qr-profile-ラーメンを応援します-V-28.png","qr-feedback-ラーメンを応援します-V-28.png","","","",,false,"https://fortee.jp/techramen-24-conf/attendee/Y7nnotTngPNrdIZhKsckAz2yz12xt7z5","領収書の注意事項について理解しました","このチケットではイベント参加できないことを理解しました","表示してもよい(fortee の設定についても理解した)","返金不可の旨を理解しました",""
"ラーメンを応援します","V-29","satak","2024/06/15 23:36","","","","default-avatar.png","qr-profile-ラーメンを応援します-V-29.png","qr-feedback-ラーメンを応援します-V-29.png","","","",,false,"https://fortee.jp/techramen-24-conf/attendee/n0oXwqrU6A4ZO4NfJ1Ct5mWOLaGz8qOD","領収書の注意事項について理解しました","このチケットではイベント参加できないことを理解しました","表示してもよい(fortee の設定についても理解した)","返金不可の旨を理解しました",""
"ラーメンを応援します","V-30","ShotaArima","2024/06/16 0:35","","","","default-avatar.png","qr-profile-ラーメンを応援します-V-30.png","qr-feedback-ラーメンを応援します-V-30.png","","","",,false,"https://fortee.jp/techramen-24-conf/attendee/O6I4cbx4hhtspIxmak23ajf6TgjTy6IC","領収書の注意事項について理解しました","このチケットではイベント参加できないことを理解しました","表示してもよい(fortee の設定についても理解した)","返金不可の旨を理解しました","わいわい"
"ラーメンを応援します","V-31","hokkai7go","2024/06/16 8:41","","","","default-avatar.png","qr-profile-ラーメンを応援します-V-31.png","qr-feedback-ラーメンを応援します-V-31.png","","","",,false,"https://fortee.jp/techramen-24-conf/attendee/zLzZmNmlmAUGRJsFbqx8cDKGqtzuHmZp","領収書の注意事項について理解しました","このチケットではイベント参加できないことを理解しました","表示してもよい(fortee の設定についても理解した)","返金不可の旨を理解しました","たのしそう。新しい取り組みいいですね。旭川愛をばしばし感じました。応援します"
"ラーメンを応援します","V-32","jnkykn","2024/06/17 15:04","","","","default-avatar.png","qr-profile-ラーメンを応援します-V-32.png","qr-feedback-ラーメンを応援します-V-32.png","","","",,true,"https://fortee.jp/techramen-24-conf/attendee/obACRKqbwNMogEbzFdMyIq74RsVoTkWL","領収書の注意事項について理解しました","このチケットではイベント参加できないことを理解しました","表示してもよい(fortee の設定についても理解した)","返金不可の旨を理解しました","SupportStuffだけどラーメンを応援します🍜ご査収ください🍜"
"ラーメンを応援します","V-33","KojiKa","2024/06/17 18:10","","","","default-avatar.png","qr-profile-ラーメンを応援します-V-33.png","qr-feedback-ラーメンを応援します-V-33.png","","","",,false,"https://fortee.jp/techramen-24-conf/attendee/pNI0s5zgu7dIAjg0db8HRXgoWlsFyypU","領収書の注意事項について理解しました","このチケットではイベント参加できないことを理解しました","表示してもよい(fortee の設定についても理解した)","返金不可の旨を理解しました",""
"ラーメンを応援します","V-36","dero1to","2024/06/22 15:11","","","","default-avatar.png","qr-profile-ラーメンを応援します-V-36.png","qr-feedback-ラーメンを応援します-V-36.png","","","",,false,"https://fortee.jp/techramen-24-conf/attendee/5AAqPgJBPp3Jofinaupd9AxF7RjZ3Tjv","領収書の注意事項について理解しました","このチケットではイベント参加できないことを理解しました","表示してもよい(fortee の設定についても理解した)","返金不可の旨を理解しました",""
"ラーメンを応援します","V-37","ebibibibi","2024/06/24 12:23","","","","default-avatar.png","qr-profile-ラーメンを応援します-V-37.png","qr-feedback-ラーメンを応援します-V-37.png","","","",,false,"https://fortee.jp/techramen-24-conf/attendee/kIa5MHQSxIlGQCp9BqU2d5CTRRXpTNPH","領収書の注意事項について理解しました","このチケットではイベント参加できないことを理解しました","表示してもよい(fortee の設定についても理解した)","返金不可の旨を理解しました",""
